Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
64430,"Bill, the Galactic Hero (Bill, #1)",Harry Harrison,"Harrison, Harry",,"=""0743487079""","=""9780743487078""",0,3.58,iBooks,Paperback,208,2004,1965,,2013/07/08,to-read,to-read (#237),to-read,,,,,,,0,,,,,
13482884,"Our Daily Bread, The Essential Norman Borlaug",D.C. Noel Vietmeyer,"Vietmeyer, D.C. Noel",,"=""""","=""""",4,4.00,Bracing Books,,284,2011,2011,2013/08/19,2013/07/07,"non-fiction, biography","non-fiction (#18), biography (#5)",read,"Extremely interesting! <br/><br/>Describes the life up until the Nobel Prize of the wheat scientist/breeder Dr. Norman Borlaug. If you need information on him, here's an excerpt from Penn & Teller, including a short interview with Borlaug: https://www.youtube.com/watch?v=cEBtO25xW-o (NSFW language). In a nutshell, he developed wheat-varieties with extremely high yield, raised Mexico from a poor wheat-importing country to a wheat-exporting country, and prevented famines in India, Pakistan and China.<br/> <br/>Makes for some interesting thoughts on the current GMO-debate (did you know hybrid seeds in the 1930s were not allowed to be re-sold?), mostly because people are now acting the same way they did towards Borlaug's hybrid seeds in the 60s (""it's unnatural"", ""we're too dependent on modern methods"", ""traditional plants go into extinction"" etc.). Especially in the beginning is the writing a bit weird (Quote: ""Contemplating those events upstairs was super scary""), thus the 4 stars.<br/><br/>It's also interesting that Borlaug was able to give seeds of new hybrids away basically for free since he was funded mostly by the Rockefeller Foundation. Good to know that the Foundation is involved in the development of Golden Rice (which is available for free too for developing countries). <br/><br/>Plus it's only $3 on Kindle, so there's that.<br/><br/>Recommended for: Anyone who needs some inspiration on what one person can achieve in their life.",,,,,,0,,,,,
39020,1491: New Revelations of the Americas Before Columbus,Charles C. Mann,"Mann, Charles C.",,"=""1400032059""","=""9781400032051""",0,4.00,Vintage,Paperback,541,2006,2005,,2013/07/07,to-read,to-read (#236),to-read,,,,,,,0,,,,,
6629359,"The Strangest Man: The Hidden Life of Paul Dirac, Mystic of the Atom",Graham Farmelo,"Farmelo, Graham",,"=""0465018270""","=""9780465018277""",0,4.07,Basic Books,Hardcover,560,2009,2009,,2013/07/07,to-read,to-read (#235),to-read,,,,,,,0,,,,,
39933,How to Read Literature Like a Professor,Thomas C. Foster,"Foster, Thomas C.",,"=""006000942X""","=""9780060009427""",0,3.63,Harper Perennial,Paperback,314,2014,2003,,2013/07/05,to-read,to-read (#234),to-read,,,,,,,0,,,,,
7445,The Glass Castle,Jeannette Walls,"Walls, Jeannette",,"=""074324754X""","=""9780743247542""",0,4.22,Scribner,Paperback,288,2006,2005,,2013/07/05,to-read,to-read (#233),to-read,,,,,,,0,,,,,
254308,Oblomov,Ivan Goncharov,"Goncharov, Ivan","Stephen Pearl, Galya Diment","=""1933480092""","=""9781933480091""",0,3.97,Bunim & Bannigan Ltd,Paperback,567,2006,1859,,2013/07/05,to-read,to-read (#232),to-read,,,,,,,0,,,,,
834525,The Curious Case of the Misplaced Modifier: How to Solve the Mysteries of Weak Writing,Bonnie Trenga,"Trenga, Bonnie",,"=""158297389X""","=""9781582973890""",0,3.75,Writer's Digest Books,Hardcover,152,2006,2006,,2013/07/04,to-read,to-read (#231),to-read,,,,,,,0,,,,,
27222,The Landmark Thucydides: A Comprehensive Guide to the Peloponnesian War,Thucydides,"Thucydides, Thucydides","Robert B. Strassler, Richard Crawley, Victor Davis Hanson","=""0684827905""","=""9780684827902""",0,3.85,Free Press,Paperback,713,1998,-411,,2013/07/04,to-read,to-read (#230),to-read,,,,,,,0,,,,,
3024831,"Descent into Chaos: The United States & the Failure of Nation Building in Pakistan, Afghanistan & Central Asia",Ahmed Rashid,"Rashid, Ahmed",,"=""0670019704""","=""9780670019700""",0,3.92,Viking,Hardcover,544,2008,2007,,2013/07/04,to-read,to-read (#229),to-read,,,,,,,0,,,,,
579932,Against the Grain: How Agriculture Has Hijacked Civilization,Richard Manning,"Manning, Richard",,"=""0865477132""","=""9780865477131""",0,3.89,North Point Press,Paperback,240,2005,2004,,2013/07/03,to-read,to-read (#228),to-read,,,,,,,0,,,,,
12627411,Horseshoe Crabs and Velvet Worms: The Story of the Animals and Plants That Time Has Left Behind,Richard Fortey,"Fortey, Richard",,"=""0307263614""","=""9780307263612""",0,3.83,Knopf,Hardcover,332,2012,2011,,2013/07/03,to-read,to-read (#227),to-read,,,,,,,0,,,,,
16939,Literary Theory: An Introduction,Terry Eagleton,"Eagleton, Terry",,"=""0631201882""","=""9780631201885""",0,3.92,Blackwell Pub,Paperback,248,1996,1983,,2013/07/03,to-read,to-read (#226),to-read,,,,,,,0,,,,,
356171,Summa technologiae,Stanisław Lem,"Lem, Stanisław",Friedrich Griese,"=""3518371789""","=""9783518371787""",0,4.34,Suhrkamp Verlag,Paperback,608,,1964,,2013/07/02,to-read,to-read (#225),to-read,,,,,,,0,,,,,
108713,Pimp: The Story of My Life,Iceberg Slim,"Slim, Iceberg",,"=""0862415934""","=""9780862415938""",3,3.95,Payback Pr,Paperback,311,2002,1967,2013/10/22,2013/07/01,"autobiography, america","autobiography (#3), america (#5)",read,"2.5? 3? Not sure what to think of this book - the (supposedly autobiographical) story of a pimp from the 1930s to the 1960s, complete with prostitutes, fun slang, heroin addiction etc.<br/><br/>Intended to show to prospective pimps how everybody involved in that business in the end just dies way too young and broken, but I guess similar to the movie Scarface it has the opposite effect.",,,,,,0,,,,,
15783514,The Ocean at the End of the Lane,Neil Gaiman,"Gaiman, Neil",,"=""0062255657""","=""9780062255655""",0,3.98,William Morrow Books,Hardcover,178,2013,2013,,2013/07/01,to-read,to-read (#224),to-read,,,,,,,0,,,,,
61179,"Ringworld (Ringworld, #1)",Larry Niven,"Niven, Larry",,"=""0575077026""","=""9780575077027""",2,3.95,Gollancz,Paperback,288,2005,1970,2013/07/04,2013/07/01,sci-fi,sci-fi (#14),read,"Suffers from the same things 'Rendezvous with Rama'[1] suffers from - the author had a cool, well thought-out idea of a ""neat thing"" in space, only to realize that you can't fill a book with just describing the ""thing"", so a story has to be constructed around it.<br/><br/>As such, the story either drags on or is a thinly veiled vehicle for descriptions of the ringworld. Only in the last ~10% of the book does the story pick up and things actually happen, before that it's just ""and then the party had to go over there because that's where I, Larry, imagined that other cool thing I wanted to describe"".<br/><br/>I've read that this book is ""hard sci-fi"", as in, ""the things happening in this book are based on valid science"". This is only true for parts of the book, mainly the descriptions and basics of the ringworld. The biology, on the other hand, is absolutely bonkers. Not only does Riven describe natural selection as ""survival of the strongest"" [2], you also (Spoiler!) have a race breeding humans for <i>luck</i>, and the description of why this works boils down to ""fate"" (as in: ""her luck wanted her to be stranded here""). <br/><br/>And just like Star Trek the aliens are not very imaginative either - here again the entire species has just one culture, just one language, just one ""look"". If we ever meet aliens that will be far from the truth (consider us humans - you drive for 1 hour in Europe and you already meet a different culture, language etc.).<br/><br/>2 stars, but only because of the ringworld.<br/><br/>Recommended for: fans of science-fiction. (slightly aged sci-fi OK?)<br/><br/>Not recommended for: the rest of the world.<br/><br/>[1] and in extent, a lot of science-fiction out there<br/><br/>[2] A common misconception that came en vogue in the 1920s, 1930s with the rise of eugenics, when US and German eugenics proponents used this misconception to validate their quest to ""eliminate the weak"". In reality, natural selection is about ""survival of the fittest"" in which ""fitness"" does not mean strength, but reproductive success. Consider two brothers: One is relatively weak but sexually mature at age 10, the other one is stronger but needs more time to sexually mature since his body had to invest resources into strength, let's say he matures by 15. Both die at 20. Who can have more children? <br/><br/>",,,,,,0,,,,,
9807852,Braintrust: What Neuroscience Tells Us About Morality,Patricia S. Churchland,"Churchland, Patricia S.",,"=""069113703X""","=""9780691137032""",0,3.83,Princeton University Press,Hardcover,273,2011,2011,,2013/06/30,to-read,to-read (#223),to-read,,,,,,,0,,,,,
10016013,Harry Potter and the Methods of Rationality,Eliezer Yudkowsky,"Yudkowsky, Eliezer",,"=""""","=""""",0,4.36,hpmor.com & fanfiction.net,ebook,2007,2015,2015,,2013/06/29,to-read,to-read (#222),to-read,,,,,,,0,,,,,
77711,"A Fire Upon the Deep (Zones of Thought, #1)",Vernor Vinge,"Vinge, Vernor",,"=""0812515285""","=""9780812515282""",0,4.13,Tor Science Fiction,Mass Market Paperback,613,1993,1992,,2013/06/29,to-read,to-read (#221),to-read,,,,,,,0,,,,,
156041,Extraordinary Adventures of Arsene Lupin,Maurice Leblanc,"Leblanc, Maurice",,"=""1406500011""","=""9781406500011""",4,3.90,Dodo Press,Paperback,192,2005,1907,2013/06/28,2013/06/28,"short-stories, crime","short-stories (#7), crime (#2)",read,"<blockquote><br/>[The detective Ganimard and Lupin] shook hands like two old friends who valued each other at their true worth; then the detective stepped to the door.<br/><br/>  ""Ganimard!""<br/>  ""What is it?"" asked Ganimard, as he turned back.<br/>  ""You have forgotten your watch.""<br/>  ""My watch?""<br/>  ""Yes, it strayed into my pocket.""<br/>  He returned the watch, excusing himself.<br/>  ""Pardon me... a bad habit.""<br/></blockquote>",,,,,,0,,,,,
8171378,The Warmth of Other Suns: The Epic Story of America's Great Migration,Isabel Wilkerson,"Wilkerson, Isabel",,"=""0679444327""","=""9780679444329""",0,4.28,Random House,Hardcover,622,2010,2010,,2013/06/27,to-read,to-read (#220),to-read,,,,,,,0,,,,,
7990729,"Kingdom Under Glass: A Tale of Obsession, Adventure, and One Man's Quest to Preserve the World's Great Animals",Jay Kirk,"Kirk, Jay",,"=""080509282X""","=""9780805092820""",0,3.87,Henry Holt and Co.,Hardcover,387,2010,2010,,2013/06/27,to-read,to-read (#219),to-read,,,,,,,0,,,,,
16043518,Junius and Albert's Adventures in the Confederacy: A Civil War Odyssey,Peter Carlson,"Carlson, Peter",,"=""1610391543""","=""9781610391542""",0,4.09,PublicAffairs,Hardcover,270,2013,2013,,2013/06/27,to-read,to-read (#218),to-read,,,,,,,0,,,,,
48497,Dancing Naked in the Mind Field,Kary Mullis,"Mullis, Kary",,"=""0679774009""","=""9780679774006""",1,3.83,Vintage,Paperback,240,2000,1998,2013/07/17,2013/06/27,non-fiction,non-fiction (#15),read,"tl;dr: trolling is a art<br/><br/>The problem with ebooks is that you can't throw them against the wall. In this case of Mullis' autobiography, or rather loose collection of essays, I wanted to do exactly that about 5 times - it has been a long time since I've been this physically angry at a book.<br/><br/>The first quarter of the book is alright - he details how he perfected PCR, how he got the Nobel Prize for that, etc. The one thing  that starts to annoy is his constant drive to portray himself as such an unconventional person - ""Hey everybody, I go to strip-clubs! I'm OK with drugs! I was totally spontaneous and cool when I met the wife of the Japanese tenno![1]"" <br/><br/>You just expect at some point to read ""hi every1 im new!!!!!!! holds up spork my name is kary but u can call me t3h PeNgU1N oF d00m!!!!!!!! lol…as u can see im very random!!!!"" etc. pp.<br/><br/>Some of the early chapters are interesting, for example, when he tries to explain the scientific method. Why he then goes and throws everything out of the window is beyond me - I think it's because he loves being in a position opposite to the mainstream, even if that means distorting and twisting the truth until it becomes a lie.<br/><br/>First, the chapter about his belief in astrology - his evidence that it exists: 3 people guessed his star-sign. Also, a program used the constellation of planets at his birth to describe his character, and I quote: ""Most of the things that the fifty-page document said about me were correct. But some of them were entirely wrong."" (p. 118). Guess what, that's how horoscopes are written! Make them so vague and general that ""most of the things"" are correct! It doesn't take a scientist to notice that, yet Mullis constantly assures us that he's a scientist. Literally: ""I am a scientist"", at least 3 or 4 times in the book.<br/><br/>Then it gets worse and he ""goes full retard"" (Tropic Thunder, 2008), in his views on global warming: ""What is the trouble with something being out of balance if the natural state of that thing is change?"" (p94).  He then goes on:  ""The concept that human beings are capable of causing the planet to overheat or lose its ozone seems about as ridiculous as blaming the Magdalenian paintings for the last ice age"" (p 96). That's his entire rhetoric - he doesn't cite any proof to the contrary, he just does his impression of Rush Limbaugh. That's it!<br/><br/>We humans can and have changed this planet massively, starting with ""small things"" like the artificial Suez Canal, to changing the entire picture of earth at night. We got enough weapons to irradiate and destroy the surface of the earth. And of course the state of earth is change, the problem we humans might get is that this change might wipe us out. He conveniently doesn't mention this - it doesn't fit his story.<br/><br/>The chapter that made me truly angry is the one where he starts to deny the HIV->AIDS causality, and that's when he gets so self-satisfied and the smugness just oozes out of the pages, into your lap, forcing you to take a shower. He says that the presence of HIV-antibodies shows that HIV has been defeated: ""Antibodies signaled that the virus had been defeated. The patient had saved himself."" (p 139). That's like saying that the presence of soldiers shows that there is no war. <br/><br/>This shows that he either doesn't know a thing about the human immune system or he outright lies to save his worldview, I don't know if Wikipedia was very big in 1998, but a look into an encyclopedia could have certainly helped him. And then he goes in and does these absolutely dirty tricks: ""They didn't show that everybody with the antibodies had the disease. In fact, they found some healthy people with antibodies."" (p 139). That is so dishonest that I'm getting angry again just typing this - it takes <i>time</i> for the symptoms of a disease to develop [2]. <br/><br/>He goes into his descriptions of some of the major players of the early HIV ""controversy"", notably Gallo and Duesberg. He uses language again to make one look good and one look bad: ""In spite of his lack of luster as a scientist, Gallo had worked his way up in the power structure. Peter Duesberg, despite his brilliance, worked his way down"" (p 142). Peter Duesberg is one of the biggest douchebags in recent history, and one of the first HIV-denialists. He used to be the editor at PNAS and used that status to circumvent peer-review for one of his denialist articles, something which Muller describes this way: ""Duesberg pointed out wisely from the sidelines in the Proceedings of the National Academy of Science that there was no good evidence implicating the new virus."" (p 143). He again conveniently doesn't mention that Duesberg used his (former) status to get his article into PNAS. He also ignores the HIV-AIDS evidence that was already available in 1998, most disingenuous by saying that ""no-one had proven that HIV causes AIDS"". The problem with proving that is that you have to literally infect a human with HIV, something which no ethics committee in the world will approve. But there are some cases from before the publication of this book which Mullis could have had a look at.<br/><br/>There's the Florida dentist case from 1990, in which a dentist unknowingly infected some of his patients, who were all tested positive for HIV and later died of AIDS, same as the dentist, Wikipedia has an overview: http://en.wikipedia.org/wiki/Kimberly_Bergalis This case was the first case in which someone proved that HIV causes AIDS, something which Mullis conveniently forgets. That was 8 years before this book! Another big case was when three lab workers got infected with HIV and developed AIDS, that was in 1997, maybe too close to the publication of this book (http://www.ncbi.nlm.nih.gov/pubmed/9045880). There's a mountain of evidence for the causality HIV->AIDS, but Mullis always pretends as if he's the lone warrior showing the world that ""the big pharma-companies"" just want to make money with the disease of others. See here for evidence: http://www.niaid.nih.gov/topics/HIVAIDS/Understanding/howHIVCausesAIDS/Pages/HIVcausesAIDS.aspx<br/> <br/>By the way: after the publication of this book, Duesberg became a member of the advisory panel to Thabo Mbeki in South Africa, and his denialism prevented the use of antiretroviral drugs, one of the main reasons why AIDS spread so much leading to literally hundreds of thousands who died of AIDS in South Africa. That man has <i>a lot</i> of blood on his hand! (Check Wikipedia: http://en.wikipedia.org/wiki/Peter_Duesberg)<br/><br/>And then, the prime piece, the one that made me throw my Kindle across the room, the most disgusting sentence I've read all year: ""If a person has three hundred sexual contact a year - with people who themselves are having three hundred contacts a year - that's ninety thousand times more opportunity for infections than a person involved in an exclusive relationship"". (p 146) YES IT'S THEIR OWN FAULT THAT THEY HAVE AIDS. THESE DISGUSTING PIGS AND THEIR FILTHY POLYGAMY!! [3] LET'S ALL SHAME MORE VICTIMS. Edit: According to the WHO, 2% of the 8 million children who die per year die because of AIDS. Did these have too much sex too? (Source: http://www.who.int/pmnch/media/press_materials/fs/fs_mdg4_childmortality/en/index.html)<br/><br/>Does he cite peer-reviewed publications for any of his viewpoints? In one chapter he makes fun of a nutritionist for not citing any sources in her ""crusade"" against margarine, and writes that you should always cite sources. Yet there <i>isn't a single paper cited</i> in this book, a thing you would think a scientist would do.<br/><br/><br/>Of course, there are the other crazy things [4] I don't want to go into because to him, they happened, and I can't criticize that. There's a lot more going on in this book that for the purpose of my sanity I will now forget so I can't write about it here.<br/><br/>The only thing you'll learn in this book is that you shouldn't trust people just because they got a prize, even if it's the Nobel Prize. <br/><br/>[1] Apparently the official title is ""chief wife""? http://en.wikipedia.org/wiki/Emperor_of_Japan<br/><br/>[2] especially in HIV that can take up to 3 months, in some cases several years: http://aids.gov/hiv-aids-basics/hiv-aids-101/signs-and-symptoms/<br/><br/>[3] capslock is cruise control for rage<br/><br/>[4] Glowing raccoons abducting him over night. Someone saving him from a laughing gas overdose via astral travelling. His telepathy with a friend. That said friend's face morphing into other faces, even though Mullis was sober. etc.<br/>",,,,,,0,,,,,
6294,"Howl's Moving Castle (Howl's Moving Castle, #1)",Diana Wynne Jones,"Jones, Diana Wynne",,"=""006441034X""","=""9780064410342""",0,4.30,Greenwillow Books,Paperback,336,2001,1986,,2013/06/27,to-read,to-read (#217),to-read,,,,,,,0,,,,,
12188,Strong Opinions,Vladimir Nabokov,"Nabokov, Vladimir",,"=""0679726098""","=""9780679726098""",0,4.01,Vintage,Paperback,368,1990,1973,,2013/06/27,to-read,to-read (#216),to-read,,,,,,,0,,,,,
10185738,Why Marx Was Right,Terry Eagleton,"Eagleton, Terry",,"=""0300169434""","=""9780300169430""",0,3.88,Yale University Press,Hardcover,258,2011,2011,,2013/06/25,to-read,to-read (#215),to-read,,,,,,,0,,,,,
